Comunidades_autonomas;Gastos_y_duracion_media_de_los_viajes;Tipo_de_dato;Periodo;Total
Catalunya;Duracion media de los viajes;Dato base;2015M12;6.91
Catalunya;Duracion media de los viajes;Dato base;2015M11;6.73
Catalunya;Duracion media de los viajes;Dato base;2015M10;6.27
Comunidad Valenciana;Gasto total;Dato base;2020M03;253.69
Comunidad Valenciana;Gasto total;Dato base;2020M02;510.35
Comunidad Valenciana;Gasto total;Dato base;2020M01;449.2
Comunidad Valenciana;Gasto total;Dato base;2019M12;481.54
Comunidad Valenciana;Gasto total;Dato base;2019M11;523.1
Comunidad Valenciana;Gasto total;Dato base;2019M10;842.54
Comunidad Valenciana;Gasto total;Dato base;2019M09;1027.01
Comunidad Valenciana;Gasto total;Dato base;2019M08;1427.1
Comunidad Valenciana;Gasto total;Dato base;2019M07;1368.49
Comunidad Valenciana;Gasto total;Dato base;2019M06;919.81
Comunidad Valenciana;Gasto total;Dato base;2019M05;763.46
Comunidad Valenciana;Gasto total;Dato base;2019M04;722.58
Comunidad Valenciana;Gasto total;Dato base;2019M03;634.76
Comunidad Valenciana;Gasto total;Dato base;2019M02;475.32
Comunidad Valenciana;Gasto total;Dato base;2019M01;438.43
Comunidad Valenciana;Gasto total;Dato base;2018M12;438.72
Comunidad Valenciana;Gasto total;Dato base;2018M11;471.74
Comunidad Valenciana;Gasto total;Dato base;2018M10;784.68
Comunidad Valenciana;Gasto total;Dato base;2018M09;967.51
Comunidad Valenciana;Gasto total;Dato base;2018M08;1274.27
Comunidad Valenciana;Gasto total;Dato base;2018M07;1194.66
Comunidad Valenciana;Gasto total;Dato base;2018M06;848.2
Comunidad Valenciana;Gasto total;Dato base;2018M05;784.96
Comunidad Valenciana;Gasto total;Dato base;2018M04;675.07
Comunidad Valenciana;Gasto total;Dato base;2018M03;607.35
Comunidad Valenciana;Gasto total;Dato base;2018M02;437.54
Comunidad Valenciana;Gasto total;Dato base;2018M01;435.28
Comunidad Valenciana;Gasto total;Dato base;2017M12;394.24
Comunidad Valenciana;Gasto total;Dato base;2017M11;415.77
Comunidad Valenciana;Gasto total;Dato base;2017M10;743.57
Comunidad Valenciana;Gasto total;Dato base;2017M09;945.82
Comunidad Valenciana;Gasto total;Dato base;2017M08;1262.7
Comunidad Valenciana;Gasto total;Dato base;2017M07;1242.73
Comunidad Valenciana;Gasto total;Dato base;2017M06;780.27
Comunidad Valenciana;Gasto total;Dato base;2017M05;761.08
Comunidad Valenciana;Gasto total;Dato base;2017M04;648.89
Comunidad Valenciana;Gasto total;Dato base;2017M03;516.26
Comunidad Valenciana;Gasto total;Dato base;2017M02;425.36
Comunidad Valenciana;Gasto total;Dato base;2017M01;392.13
Comunidad Valenciana;Gasto total;Dato base;2016M12;446.01
Comunidad Valenciana;Gasto total;Dato base;2016M11;370.88
Comunidad Valenciana;Gasto total;Dato base;2016M10;678.74
Comunidad Valenciana;Gasto total;Dato base;2016M09;818.58
Comunidad Valenciana;Gasto total;Dato base;2016M08;1137.94
Comunidad Valenciana;Gasto total;Dato base;2016M07;1013.35
Comunidad Valenciana;Gasto total;Dato base;2016M06;694.84
Comunidad Valenciana;Gasto total;Dato base;2016M05;636.84
Comunidad Valenciana;Gasto total;Dato base;2016M04;584.71
Comunidad Valenciana;Gasto total;Dato base;2016M03;428.19
Comunidad Valenciana;Gasto total;Dato base;2016M02;319.12
Comunidad Valenciana;Gasto total;Dato base;2016M01;308.13
Comunidad Valenciana;Gasto total;Dato base;2015M12;314.31
Comunidad Valenciana;Gasto total;Dato base;2015M11;282.48
Comunidad Valenciana;Gasto total;Dato base;2015M10;547.51
Comunidad Valenciana;Gasto medio por persona;Dato base;2020M03;1000
Comunidad Valenciana;Gasto medio por persona;Dato base;2020M02;966
Comunidad Valenciana;Gasto medio por persona;Dato base;2020M01;1035
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M12;1055
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M11;959
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M10;963
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M09;1004
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M08;1123
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M07;1097
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M06;983
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M05;881
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M04;871
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M03;979
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M02;1035
Comunidad Valenciana;Gasto medio por persona;Dato base;2019M01;1060
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M12;1025
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M11;949
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M10;911
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M09;962
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M08;1084
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M07;1055
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M06;941
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M05;862
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M04;877
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M03;971
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M02;973
Comunidad Valenciana;Gasto medio por persona;Dato base;2018M01;965
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M12;984
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M11;920
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M10;915
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M09;963
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M08;1090
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M07;1021
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M06;893
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M05;828
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M04;865
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M03;980
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M02;991
Comunidad Valenciana;Gasto medio por persona;Dato base;2017M01;973
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M12;1216
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M11;981
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M10;891
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M09;1051
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M08;1019
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M07;973
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M06;952
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M05;830
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M04;909
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M03;891
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M02;913
Comunidad Valenciana;Gasto medio por persona;Dato base;2016M01;969
Comunidad Valenciana;Gasto medio por persona;Dato base;2015M12;981
Comunidad Valenciana;Gasto medio por persona;Dato base;2015M11;885
Comunidad Valenciana;Gasto medio por persona;Dato base;2015M10;877
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2020M03;106
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2020M02;117
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2020M01;105
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M12;99
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M11;125
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M10;110
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M09;99
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M08;103
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M07;109
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M06;109
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M05;118
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M04;107
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M03;111
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M02;105
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2019M01;100
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M12;85
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M11;110
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M10;97
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M09;99
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M08;95
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M07;102
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M06;91
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M05;103
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M04;93
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M03;100
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M02;108
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2018M01;91
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M12;81
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M11;91
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M10;94
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M09;101
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M08;92
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M07;96
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M06;98
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M05;100
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M04;96
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M03;102
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M02;105
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2017M01;92
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M12;100
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M11;95
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M10;88
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M09;97
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M08;83
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M07;85
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M06;94
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M05;91
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M04;97
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M03;99
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M02;93
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2016M01;90
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2015M12;93
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2015M11;105
Comunidad Valenciana;Gasto medio diario por persona;Dato base;2015M10;86
Comunidad Valenciana;Duracion media de los viajes;Dato base;2020M03;9.43
Comunidad Valenciana;Duracion media de los viajes;Dato base;2020M02;8.25
Comunidad Valenciana;Duracion media de los viajes;Dato base;2020M01;9.82
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M12;10.64
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M11;7.68
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M10;8.75
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M09;10.1
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M08;10.89
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M07;10.11
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M06;8.98
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M05;7.47
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M04;8.11
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M03;8.78
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M02;9.9
Comunidad Valenciana;Duracion media de los viajes;Dato base;2019M01;10.65
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M12;12.08
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M11;8.65
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M10;9.35
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M09;9.76
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M08;11.37
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M07;10.3
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M06;10.3
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M05;8.38
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M04;9.43
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M03;9.73
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M02;9
Comunidad Valenciana;Duracion media de los viajes;Dato base;2018M01;10.61
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M12;12.12
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M11;10.12
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M10;9.72
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M09;9.55
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M08;11.85
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M07;10.69
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M06;9.1
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M05;8.26
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M04;8.99
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M03;9.62
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M02;9.48
Comunidad Valenciana;Duracion media de los viajes;Dato base;2017M01;10.6
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M12;12.1
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M11;10.35
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M10;10.14
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M09;10.89
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M08;12.22
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M07;11.49
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M06;10.1
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M05;9.09
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M04;9.39
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M03;9
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M02;9.78
Comunidad Valenciana;Duracion media de los viajes;Dato base;2016M01;10.73
Comunidad Valenciana;Duracion media de los viajes;Dato base;2015M12;10.59
Comunidad Valenciana;Duracion media de los viajes;Dato base;2015M11;8.42
Comunidad Valenciana;Duracion media de los viajes;Dato base;2015M10;10.19
Comunidad de Madrid;Gasto total;Dato base;2020M03;322.2
Comunidad de Madrid;Gasto total;Dato base;2020M02;653.92
Comunidad de Madrid;Gasto total;Dato base;2020M01;874.34
Comunidad de Madrid;Gasto total;Dato base;2019M12;786.68
Comunidad de Madrid;Gasto total;Dato base;2019M11;862.5
Comunidad de Madrid;Gasto total;Dato base;2019M10;1017.97
Comunidad de Madrid;Gasto total;Dato base;2019M09;939.72
Comunidad de Madrid;Gasto total;Dato base;2019M08;762.61
Comunidad de Madrid;Gasto total;Dato base;2019M07;965.88
Comunidad de Madrid;Gasto total;Dato base;2019M06;1067.97
Comunidad de Madrid;Gasto total;Dato base;2019M05;985.51
Comunidad de Madrid;Gasto total;Dato base;2019M04;833.2
Comunidad de Madrid;Gasto total;Dato base;2019M03;823.15
Comunidad de Madrid;Gasto total;Dato base;2019M02;630.83
Comunidad de Madrid;Gasto total;Dato base;2019M01;769.24
Comunidad de Madrid;Gasto total;Dato base;2018M12;716.93
Comunidad de Madrid;Gasto total;Dato base;2018M11;730.24
Comunidad de Madrid;Gasto total;Dato base;2018M10;980.12
Comunidad de Madrid;Gasto total;Dato base;2018M09;879.67
Comunidad de Madrid;Gasto total;Dato base;2018M08;719.38
Comunidad de Madrid;Gasto total;Dato base;2018M07;891.81
Comunidad de Madrid;Gasto total;Dato base;2018M06;939.51
Comunidad de Madrid;Gasto total;Dato base;2018M05;795.82
Comunidad de Madrid;Gasto total;Dato base;2018M04;774.47
Comunidad de Madrid;Gasto total;Dato base;2018M03;655.29
Comunidad de Madrid;Gasto total;Dato base;2018M02;555.52
Comunidad de Madrid;Gasto total;Dato base;2018M01;644.1
Comunidad de Madrid;Gasto total;Dato base;2017M12;649.31
Comunidad de Madrid;Gasto total;Dato base;2017M11;638
Comunidad de Madrid;Gasto total;Dato base;2017M10;835.19
Comunidad de Madrid;Gasto total;Dato base;2017M09;870.1
Comunidad de Madrid;Gasto total;Dato base;2017M08;749.95
Comunidad de Madrid;Gasto total;Dato base;2017M07;850.21
Comunidad de Madrid;Gasto total;Dato base;2017M06;905.56
Comunidad de Madrid;Gasto total;Dato base;2017M05;829.13
Comunidad de Madrid;Gasto total;Dato base;2017M04;800.1
Comunidad de Madrid;Gasto total;Dato base;2017M03;552.8
Comunidad de Madrid;Gasto total;Dato base;2017M02;544.17
Comunidad de Madrid;Gasto total;Dato base;2017M01;630.57
Comunidad de Madrid;Gasto total;Dato base;2016M12;531.71
Comunidad de Madrid;Gasto total;Dato base;2016M11;518.71
Comunidad de Madrid;Gasto total;Dato base;2016M10;794.02
Comunidad de Madrid;Gasto total;Dato base;2016M09;749.21
Comunidad de Madrid;Gasto total;Dato base;2016M08;644.43
Comunidad de Madrid;Gasto total;Dato base;2016M07;790.42
Comunidad de Madrid;Gasto total;Dato base;2016M06;751.84
Comunidad de Madrid;Gasto total;Dato base;2016M05;740.33
Comunidad de Madrid;Gasto total;Dato base;2016M04;669.34
Comunidad de Madrid;Gasto total;Dato base;2016M03;524.86
Comunidad de Madrid;Gasto total;Dato base;2016M02;417.44
Comunidad de Madrid;Gasto total;Dato base;2016M01;465.09
Comunidad de Madrid;Gasto total;Dato base;2015M12;402.23
Comunidad de Madrid;Gasto total;Dato base;2015M11;453.51
Comunidad de Madrid;Gasto total;Dato base;2015M10;702.92
Comunidad de Madrid;Gasto medio por persona;Dato base;2020M03;1281
Comunidad de Madrid;Gasto medio por persona;Dato base;2020M02;1262
Comunidad de Madrid;Gasto medio por persona;Dato base;2020M01;1430
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M12;1487
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M11;1295
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M10;1356
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M09;1404
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M08;1407
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M07;1540
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M06;1541
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M05;1307
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M04;1300
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M03;1205
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M02;1264
Comunidad de Madrid;Gasto medio por persona;Dato base;2019M01;1316
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M12;1361
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M11;1210
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M10;1380
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M09;1262
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M08;1419
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M07;1440
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M06;1558
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M05;1208
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M04;1227
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M03;1170
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M02;1143
Comunidad de Madrid;Gasto medio por persona;Dato base;2018M01;1201
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M12;1364
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M11;1194
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M10;1328
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M09;1361
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M08;1414
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M07;1467
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M06;1522
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M05;1327
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M04;1189
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M03;1156
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M02;1207
Comunidad de Madrid;Gasto medio por persona;Dato base;2017M01;1287
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M12;1231
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M11;1140
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M10;1359
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M09;1289
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M08;1312
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M07;1538
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M06;1651
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M05;1322
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M04;1114
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M03;1383
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M02;1254
Comunidad de Madrid;Gasto medio por persona;Dato base;2016M01;1170
Comunidad de Madrid;Gasto medio por persona;Dato base;2015M12;1210
Comunidad de Madrid;Gasto medio por persona;Dato base;2015M11;1222
Comunidad de Madrid;Gasto medio por persona;Dato base;2015M10;1250
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2020M03;287
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2020M02;254
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2020M01;216
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M12;266
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M11;265
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M10;303
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M09;265
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M08;274
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M07;268
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M06;312
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M05;270
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M04;299
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M03;291
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M02;235
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2019M01;196
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M12;244
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M11;245
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M10;274
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M09;261
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M08;226
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M07;246
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M06;242
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M05;239
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M04;264
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M03;259
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M02;245
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2018M01;182
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M12;215
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M11;221
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M10;245
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M09;227
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M08;195
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M07;210
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M06;209
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M05;227
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M04;225
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M03;239
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M02;234
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2017M01;203
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M12;213
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M11;212
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M10;221
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M09;220
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M08;181
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M07;185
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M06;208
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M05;237
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M04;213
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M03;222
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M02;230
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2016M01;167
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2015M12;215
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2015M11;216
Comunidad de Madrid;Gasto medio diario por persona;Dato base;2015M10;239
Comunidad de Madrid;Duracion media de los viajes;Dato base;2020M03;4.46
Comunidad de Madrid;Duracion media de los viajes;Dato base;2020M02;4.98
Comunidad de Madrid;Duracion media de los viajes;Dato base;2020M01;6.63
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M12;5.58
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M11;4.89
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M10;4.48
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M09;5.3
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M08;5.13
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M07;5.74
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M06;4.93
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M05;4.84
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M04;4.34
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M03;4.15
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M02;5.37
Comunidad de Madrid;Duracion media de los viajes;Dato base;2019M01;6.7
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M12;5.57
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M11;4.94
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M10;5.04
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M09;4.83
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M08;6.29
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M07;5.86
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M06;6.44
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M05;5.06
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M04;4.65
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M03;4.52
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M02;4.67
Comunidad de Madrid;Duracion media de los viajes;Dato base;2018M01;6.62
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M12;6.34
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M11;5.41
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M10;5.42
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M09;6
